date,gross_return,turnover,transaction_cost,net_return,equity_curve
2008-07-01,0.0,0.0,0.0,0.0,100000.0
2008-07-02,0.005329302301367578,1.0,0.0005000000000000001,0.004829302301367577,100482.93023013674
2008-07-03,-0.0025383898163528597,0.0,0.0,-0.0025383898163528597,100227.86538332327
2008-07-07,0.0029905106592390098,0.0,0.0,0.0029905106592390098,100527.59788310486
2008-07-08,-0.011562751888342515,0.0,0.0,-0.011562751888342515,99365.22221085144
2008-07-09,0.010354594484152914,0.0,0.0,0.010354594484152914,100394.10879267256
2008-07-10,0.0030882314991856332,0.0,0.0,0.0030882314991856332,100704.14904177876
2008-07-11,0.0032334128577948375,0.0,0.0,0.0032334128577948375,101029.76713212373
2008-07-14,0.006944957843985833,0.0,0.0,0.006944957843985833,101731.41460584402
2008-07-15,-0.00019448502872660952,0.0,0.0,-0.00019448502872660952,101711.629368752
2008-07-16,-0.016034075830885987,0.0,0.0,-0.016034075830885987,100080.77739057047
2008-07-17,-0.007355810398619079,0.0,0.0,-0.007355810398619079,99344.60216753902
2008-07-18,-0.004958332735985161,0.0,0.0,-0.004958332735985161,98852.0185744683
2008-07-21,0.003161732612286461,0.0,0.0,0.003161732612286461,99164.56222538553
2008-07-22,-0.00935484023858655,0.0,0.0,-0.00935484023858655,98236.89358843767
2008-07-23,-0.009632739088983188,0.0,0.0,-0.009632739088983188,97290.60322358804
2008-07-24,0.01055069110699084,0.0,0.0,0.01055069110699084,98317.08632581292
2008-07-25,-0.0042409835954231425,0.0,0.0,-0.0042409835954231425,97900.12517555535
2008-07-28,0.0060068543304890535,0.0,0.0,0.0060068543304890535,98488.19696642154
2008-07-29,-0.006396495205555486,0.0,0.0,-0.006396495205555486,97858.21768672203
2008-07-30,-0.0017563647419502565,0.0,0.0,-0.0017563647419502565,97686.34296346697
2008-07-31,0.0035185440948576454,0.0,0.0,0.0035185440948576454,98030.05666864934
2008-08-01,-0.0008196125696159793,0.0,0.0,-0.0008196125696159793,97949.71000200354
2008-08-04,0.0011645585775638006,0.2,0.0001,0.0010645585775638006,98053.98320595606
2008-08-05,-0.01648484241114464,0.0,0.0,-0.01648484241114464,96437.57874502083
2008-08-06,-0.0029288725637813934,0.0,0.0,-0.0029288725637813934,96155.12536651704
2008-08-07,0.012352903959031946,0.0,0.0,0.012352903959031946,97342.92039533831
2008-08-08,-0.011429187517139373,0.0,0.0,-0.011429187517139373,96230.36990467401
2008-08-11,-0.009596953522120744,0.0,0.0,-0.009596953522120744,95306.85151728237
2008-08-12,0.005660369987869462,0.0,0.0,0.005660369987869462,95846.32355924913
2008-08-13,0.007212239032095048,0.0,0.0,0.007212239032095048,96537.59015510595
2008-08-14,-0.006218635167234654,0.0,0.0,-0.006218635167234654,95937.25810200731
2008-08-15,-0.0009310564323749217,0.0,0.0,-0.0009310564323749217,95847.93510074702
2008-08-18,0.007989460513575797,0.0,0.0,0.007989460513575797,96613.70839354221
2008-08-19,0.008915478678442503,0.0,0.0,0.008915478678442503,97475.0658507701
2008-08-20,-0.003139181172133353,0.0,0.0,-0.003139181172133353,97169.07395929891
2008-08-21,0.008590711903480997,0.0,0.0,0.008590711903480997,98003.82547961129
2008-08-22,-0.01144163295063805,0.0,0.0,-0.01144163295063805,96882.50168071518
2008-08-25,0.010286828101255295,0.0,0.0,0.010286828101255295,97879.11532152428
2008-08-26,-0.0020788038639428354,0.0,0.0,-0.0020788038639428354,97675.6438383946
2008-08-27,-0.003501291738796653,0.0,0.0,-0.003501291738796653,97333.65291354156
2008-08-28,-0.007185856226596666,0.0,0.0,-0.007185856226596666,96634.2272776954
2008-08-29,0.001501068164839059,0.0,0.0,0.001501068164839059,96779.28183989578
2008-09-02,-0.00022300110217166134,0.0,0.0,-0.00022300110217166134,96757.6999533781
2008-09-03,0.0005581443768327475,0.0,0.0,0.0005581443768327475,96811.70471952236
2008-09-04,0.013199274982578047,0.0,0.0,0.013199274982578047,98089.54903164749
2008-09-05,-0.0023774607924352594,0.0,0.0,-0.0023774607924352594,97856.34497467708
2008-09-08,-0.010181527610613828,0.0,0.0,-0.010181527610613828,96860.01789644365
2008-09-09,0.01065533770642213,0.0,0.0,0.01065533770642213,97892.09409738035
2008-09-10,-0.007554171206007955,0.0,0.0,-0.007554171206007955,97152.6004588541
2008-09-11,-0.004945581647863972,0.0,0.0,-0.004945581647863972,96672.12434098254
2008-09-12,-0.0020405238138132987,0.0,0.0,-0.0020405238138132987,96474.86256913285
2008-09-15,0.026689651891499855,0.0,0.0,0.026689651891499855,99049.74306738329
2008-09-16,-0.017851441913719512,0.0,0.0,-0.017851441913719512,97281.56233244705
2008-09-17,0.034443107912902296,0.0,0.0,0.034443107912902296,100632.24168179928
2008-09-18,-0.02906308208792183,0.0,0.0,-0.02906308208792183,97707.55858110954
2008-09-19,-0.020389414476481175,0.0,0.0,-0.020389414476481175,95715.35867171425
2008-09-22,0.030420739077052596,0.0,0.0,0.030420739077052596,98627.09062353296
2008-09-23,0.0021213551213387976,0.0,0.0,0.0021213551213387976,98836.31370732994
2008-09-24,-0.004257455806117528,0.0,0.0,-0.004257455806117528,98415.52246968141
2008-09-25,-0.008703467082984206,0.0,0.0,-0.008703467082984206,97558.96620941185
2008-09-26,-0.0016900199489265247,0.0,0.0,-0.0016900199489265247,97394.08961032132
2008-09-29,0.029762079990604533,0.0,0.0,0.029762079990604533,100292.74029591579
2008-09-30,-0.0243229745421508,0.0,0.0,-0.0243229745421508,97853.32252693569
2008-10-01,0.0031072206966789146,0.0,0.0,0.0031072206966789146,98157.37439593018
2008-10-02,0.017650584394092794,0.4,0.0002,0.017450584394092795,99870.27794172894
2008-10-03,0.00758141529437667,0.0,0.0,0.00758141529437667,100627.43599437001
2008-10-06,0.02404858431527717,0.0,0.0,0.02404858431527717,103047.38337331076
2008-10-07,0.027332183568686042,0.0,0.0,0.027332183568686042,105863.89337194285
2008-10-08,0.007731063609105382,0.0,0.0,0.007731063609105382,106682.33386550889
2008-10-09,0.025478276857059078,0.0,0.0,0.025478276857059078,109400.41590349155
