date,open,high,low,close,volume
2007-07-02,50.098109329673065,50.2283787305492,50.02987230072367,50.18495559692383,1030600
2007-07-03,50.18495040110734,50.240778110231396,50.02986712096348,50.03607177734375,169200
2007-07-05,49.89961769154174,49.93683617917711,49.694906544011225,49.75693893432617,269000
2007-07-06,49.651489366823114,49.688707858933036,49.58325230944253,49.63908004760742,468100
2007-07-09,49.732115820259125,49.81896209716797,49.68248802409203,49.81896209716797,118900
2007-07-10,49.99264077941879,50.160133361816406,49.9368130737968,50.160133361816406,191300
2007-07-11,50.1291280059875,50.1787558014437,49.949230797034076,49.986454010009766,218100
2007-07-12,50.01124636903495,50.07327872025574,49.8003306955662,49.843753814697266,309700
2007-07-13,49.974030682640404,49.998844573410985,49.80654283589616,49.955421447753906,157400
2007-07-16,49.94921960325737,50.1539306640625,49.94921960325737,50.1539306640625,154100
2007-07-17,50.05467801416275,50.12911495520081,49.95542244909089,50.0484733581543,136600
2007-07-18,50.09192326084294,50.3338529140695,50.079518674961115,50.228397369384766,215700
2007-07-19,50.10430316347968,50.22837262501845,50.09189858370881,50.22216796875,200600
2007-07-20,50.34625307325555,50.56336878245038,50.315234515041645,50.47031784057617,463300
2007-07-23,50.43311575823029,50.51375740993731,50.408301850142955,50.451725006103516,327500
2007-07-24,50.532317602226115,50.62536848402973,50.47648991280262,50.58815002441406,251200
2007-07-25,50.60056633805374,50.71843113119752,50.575752448298964,50.65639877319336,409500
2007-07-26,50.92310780873334,51.1774464811537,50.873484790863465,51.0595817565918,391800
2007-07-27,51.059622745471756,51.22091069812288,50.978981135529494,51.158878326416016,305800
2007-07-30,51.16505751609669,51.189866666217455,50.99136033590172,51.02858352661133,279600
2007-07-31,51.0099931779159,51.251922709634464,50.96036539377723,51.2395133972168,417200
2007-08-01,51.17229682998284,51.315534025007466,51.09133956836395,51.09756851196289,195100
2007-08-02,51.12869308528546,51.2096550813445,51.04150689821484,51.13492202758789,212100
2007-08-03,51.22832216099015,51.464969635009766,51.01035675711821,51.464969635009766,950100
2007-08-06,51.3466160465357,51.49608203031603,51.222065811339,51.259429931640625,267900
2007-08-07,51.296820309610816,51.415141657268265,51.11621906695702,51.25322723388672,567300
2007-08-08,51.0913394014192,51.0913394014192,50.823551843041784,50.898284912109375,314600
2007-08-09,51.247028598501934,51.247028598501934,50.99169418163665,51.18475341796875,235600
2007-08-10,51.31547077250169,51.31547077250169,51.022772550931194,51.10995864868164,685000
2007-08-13,51.06642483403282,51.21588621050252,51.035284869593035,51.190975189208984,154400
2007-08-14,51.04771835469979,51.384009854475416,51.04771835469979,51.37778091430664,530100
2007-08-15,51.50857462867324,51.57707873591796,51.34043120716657,51.47121047973633,902100
2007-08-16,51.620656802525275,51.98185930808892,51.60820367360099,51.67047882080078,900500
2007-08-17,51.65797602919007,51.73270899163056,51.60815880551479,51.70779800415039,308400
2007-08-20,51.776349394219515,51.9631795955808,51.720303184584765,51.819942474365234,926600
2007-08-21,51.9943330827909,52.08774821632822,51.89469375796453,52.04415512084961,459200
2007-08-22,51.7825843391708,51.95695667997338,51.7701264569478,51.875999450683594,197000
2007-08-23,51.8386747843139,52.00059413233379,51.79508166191939,51.89472579956055,234900
2007-08-24,51.97565102644414,51.98187996902665,51.819960720918736,51.91337585449219,123400
2007-08-27,51.98183989753217,52.08147914558768,51.91333583580577,52.05656814575195,120000
2007-08-28,52.11887904047636,52.343073421143835,52.11887904047636,52.32438659667969,274400
2007-08-29,52.274572909763144,52.41780531479634,52.12510681152344,52.12510681152344,507600
2007-08-30,52.33683569388343,52.436474984514646,52.28078473248071,52.38665771484375,201800
2007-08-31,52.21225968526316,52.57346206531705,52.16244243558722,52.39908981323242,261500
2007-09-04,52.420340862485205,52.520381975001676,52.170247621639625,52.30154800415039,281800
2007-09-05,52.38284178226451,52.65169638098187,52.38284178226451,52.626686096191406,313300
2007-09-06,52.601689976779696,52.64545679439317,52.476643289377,52.514156341552734,267100
2007-09-07,52.85174794990522,53.07683563232421,52.82673767738958,53.07683563232422,410800
2007-09-10,53.06433638755074,53.289424084843034,53.01431583921422,53.19563674926758,238000
2007-09-11,53.13311228307878,53.2018845727549,53.02681742764055,53.083091735839844,123200
2007-09-12,53.01433606830776,53.0455953452794,52.876781893005735,52.951812744140625,147900
2007-09-13,52.814257887326605,52.814257887326605,52.582916343647156,52.639190673828125,178500
2007-09-14,52.93929112158348,52.93929112158348,52.60165953670991,52.70795440673828,160700
2007-09-17,52.67672302213031,52.75175389979911,52.607945910156964,52.7392463684082,237900
2007-09-18,52.614240565289,52.81431829100506,52.46418346355927,52.68301773071289,344700
2007-09-19,52.57664877953066,52.60165905635467,52.37657133516111,52.49536895751953,1369300
2007-09-20,52.32033993184712,52.357852989319134,51.90142822265625,51.90142822265625,685800
2007-09-21,52.03269725809452,52.207764447497134,52.03269725809452,52.163997650146484,754900
2007-09-24,52.182798001604766,52.25782890447106,52.12652840212541,52.232818603515625,236300
2007-09-25,52.40157329008113,52.47035034786903,52.23275991110652,52.239013671875,225500
2007-09-26,52.17652404609079,52.307829267860036,52.114000703006816,52.257808685302734,151100
2007-09-27,52.31406514189299,52.49538613051632,52.27655209949647,52.42660903930664,437100
2007-09-28,52.545387936573576,52.63292151772328,52.357813251125684,52.44534683227539,185600
2007-10-01,52.48302986972055,52.577165165927134,52.41399763836373,52.50813293457031,510600
2007-10-02,52.495579409461925,52.70267608622696,52.45792242137396,52.621089935302734,205900
2007-10-03,52.75914021866041,52.777966313689056,52.50811444646902,52.58342361450195,1232800
2007-10-04,52.53323654500694,52.69640407426493,52.53323654500694,52.67757797241211,120300
2007-10-05,52.38262886837455,52.4014549723572,52.16298300870928,52.21318435668945,1173000
2007-10-08,52.2759063182138,52.58341029761492,52.13784193907778,52.40141677856445,129100
2007-10-09,52.26337286539195,52.37633423910927,52.15668845352532,52.2382698059082,184000
2007-10-10,52.18810946940346,52.36382623589878,52.12534937743559,52.288516998291016,298700
2007-10-11,52.09399513675762,52.30736421417943,51.99358277943579,52.29481506347656,264100
2007-10-12,52.04999779046951,52.30101877932132,52.04999779046951,52.1190299987793,151400
2007-10-15,51.99979176823256,52.21316056671246,51.987237846017,52.16923141479492,196200
2007-10-16,52.25712315193691,52.332432369656566,52.18809568726247,52.31360626220703,205200
2007-10-17,52.33867013360263,52.890922952816645,52.31984404025367,52.63362503051758,201200
