date,open,high,low,close,volume
2007-07-02,106.38857047467478,107.1289981759138,106.31806021169804,107.03732299804688,103357000
2007-07-03,107.31229583340495,107.53795441073568,107.17832315810716,107.42512512207031,54048400
2007-07-05,107.4674086643507,107.5802379270302,106.9244380126882,107.31227111816406,89279000
2007-07-06,107.45336342106353,108.0104406815631,107.13602962609987,107.87645721435547,81109000
2007-07-09,108.0033983933783,108.14442966500268,107.62260212399656,107.96109008789062,72348100
2007-07-10,107.38991910309105,107.61557779489806,106.31807259700368,106.42384338378906,180362600
2007-07-11,106.30394127058051,107.220660660734,106.14175584893675,107.17835235595703,175607600
2007-07-12,107.44628725378337,109.12458807742914,107.42513310558564,108.8707275390625,133882500
2007-07-13,108.99765300555737,109.62525111677812,108.87071736823552,109.19509887695312,111794300
2007-07-16,109.29386723623485,109.67465278647254,109.00474610438917,109.18103790283203,98378700
2007-07-17,109.25151290180635,109.63935688519113,109.07522116026726,109.12458801269531,126201300
2007-07-18,108.75788010608403,109.15983037480146,108.10208010132469,108.9271240234375,237887400
2007-07-19,109.44188409283429,109.67459042566209,109.12456118806597,109.3502197265625,145212700
2007-07-20,109.22333063283655,109.2938516461533,107.77068814247731,108.24314880371094,245502500
2007-07-23,108.72267931373126,109.10347564688246,108.10213946266705,108.57460021972656,121183900
2007-07-24,107.97513995966582,108.7931360526916,106.31094583523038,106.69174194335938,256732400
2007-07-25,107.1995291771289,107.46043761842355,105.95138012228972,106.91040802001953,265214500
2007-07-26,105.90907987253406,106.33923236147368,103.22944194602493,104.37886810302734,467592500
2007-07-27,104.5128119893206,104.97821405926662,102.28448155505241,102.32678985595703,422987600
2007-07-30,102.9050275005846,104.23074506295627,102.45372099679786,103.92752838134766,283017500
2007-07-31,104.59742916849999,105.39427137325276,102.2774235628021,102.75694274902344,316976700
2007-08-01,102.37612499644241,103.66658170984205,101.50877272546633,103.25758361816406,467670000
2007-08-02,103.49033872755274,104.19550595705091,102.43258788330547,104.08268737792969,294758400
2007-08-03,103.85704012899673,104.0685924731268,100.97995622482581,101.40306091308594,359398200
2007-08-06,101.69218156738232,103.53971645926624,100.50749490235812,103.1025161743164,324980000
2007-08-07,102.91211068919714,105.06992076313561,102.41143720485272,104.20256805419922,232568700
2007-08-08,104.65382327956092,106.19108197245453,103.89928952406305,105.65515899658203,274930600
2007-08-09,103.9627669202769,105.03462378622139,102.45370995216852,102.52423095703125,357622100
2007-08-10,101.8190725135889,103.30697545740252,100.92350732447001,102.04473114013672,411018400
2007-08-13,103.3069957236935,103.58201050375258,102.26335127116134,102.41143035888672,181917200
2007-08-14,102.74285633753081,102.99671695362892,100.64146114649478,100.84595489501953,264134500
2007-08-15,100.64145055834481,101.86844520039725,99.1605953269021,99.4567642211914,323834000
2007-08-16,98.57530903074674,100.7965919611721,96.6078974592238,100.20425415039062,546743700
2007-08-17,102.6018083894339,102.82040845890488,99.70357130968306,102.04473114013672,388218100
2007-08-20,102.3691143172314,102.58066661514611,101.04339662629631,101.99537658691406,187320400
2007-08-21,101.96714872776433,102.93322403878862,101.64276718537984,102.19984436035156,157066400
2007-08-22,102.96143613735187,103.51852412725742,102.48192771261837,103.4127426147461,173156700
2007-08-23,103.89936050897298,104.11796067795473,102.67942393884874,103.32112884521484,203915300
2007-08-24,103.29287912069503,104.59744262695312,103.15184784542306,104.59744262695312,128901900
2007-08-27,104.25895491048186,104.59743208903322,103.4691604805347,103.62429809570312,113024300
2007-08-28,103.06721261710153,103.13067506551236,101.16326384481408,101.34660339355469,219790700
2007-08-29,101.80494832355309,103.47620129863789,101.51583805393369,103.33515930175781,207654200
2007-08-30,102.56653541093387,103.79352983358304,102.46781246382378,103.06015014648438,191817300
2007-08-31,104.11791560322692,104.71731192836401,103.53968418979673,104.07560729980469,185477500
2007-09-04,103.9768638050476,105.76093531367047,103.94160330582709,105.12628936767578,120062000
2007-09-05,104.5057271368969,104.6185564175827,103.65952905173833,104.21660614013672,166261800
2007-09-06,104.32943948635425,104.7948522173251,103.74414967498049,104.45637512207031,127878400
2007-09-07,103.29287926962402,103.58200037834621,102.43257450122901,103.00376892089844,235447600
2007-09-10,103.32110765540064,103.46213895227159,101.77678966866785,102.80632781982422,192305900
2007-09-11,103.12360732717978,104.15314493562545,103.04603854079065,104.00506591796875,162081900
2007-09-12,103.86405022004962,104.67499878479562,103.64545015581223,104.2730484008789,149554600
2007-09-13,104.75257100253104,105.38721706518024,104.50575822261433,105.00643157958984,154079000
2007-09-14,104.3365415322665,105.13337313532226,104.18140389061018,104.9993896484375,121911000
2007-09-17,104.58333603070373,104.82309027411391,104.10382754388341,104.43525695800781,109870800
2007-09-18,104.95000597012074,107.53796757062094,104.45639122179549,107.509765625,263759500
2007-09-19,108.17969257655972,108.87075335487128,107.6860777349086,108.1444320678711,193779900
2007-09-20,108.13031072479244,108.1937731756377,107.26295828325529,107.3828353881836,175186800
2007-09-21,108.19691804502659,108.48739987151605,107.50966024942818,107.67261505126953,141457500
2007-09-24,107.99140050443803,108.27481179830706,107.24037949499711,107.47418975830078,139450200
2007-09-25,106.85074975677858,107.45298960114431,106.60985814344866,107.26168823242188,142289900
2007-09-26,107.87097732296738,108.23940667654688,107.26165642748644,107.8284683227539,135547000
2007-09-27,108.33858324615684,108.47320226925719,107.828453690743,108.46611022949219,102713300
2007-09-28,108.29614454986695,108.53703621544982,107.67973129717245,108.10484313964844,133372100
2007-10-01,108.11895681796108,109.64225359355353,108.04810127959233,109.32342529296875,148162300
2007-10-02,109.54304322805285,109.57137895183776,108.97623145303619,109.17461395263672,112978800
2007-10-03,108.97627922415299,109.40139094452738,108.40946720066718,108.95502471923828,119055900
2007-10-04,109.18882454374493,109.2950970580594,108.82039514238964,109.12506103515625,76864400
2007-10-05,109.84068361147047,110.59879711780407,109.55728295755698,110.42166900634766,134579700
2007-10-08,110.09574140434759,110.16659696876461,109.65646717587764,109.8335952758789,71280400
2007-10-09,110.24455829297527,110.8822152704325,109.84070094582033,110.8680419921875,94054300
2007-10-10,110.55623903760606,110.8396504045019,110.10988370268221,110.68377685546875,101711100
2007-10-11,111.18681895637317,111.60484938805564,109.493475160763,110.15239715576172,233529100
2007-10-12,110.14531656644516,110.77589202175952,110.01069751232657,110.76171875,124546700
2007-10-15,110.71924783808458,110.7830113663818,109.06841246889917,109.8265151977539,161151900
2007-10-16,109.40139094452738,109.47932773289467,108.73538762775956,108.95502471923828,166525700
2007-10-17,109.80522053568461,109.88315731211831,108.02685876020095,109.28800964355469,216687300
2007-10-18,108.72123424645906,109.24553735604526,108.45908809718702,108.89128112792969,148367500
2007-10-19,108.46614044281306,110.86799659732687,106.03594855445499,106.04302978515625,297169900
2007-10-22,105.4691058663809,106.81527445829379,105.32740561634313,106.6594009399414,261989800
2007-10-23,107.31125109310288,107.65841511491307,106.45394666592532,107.52379608154297,180085100
2007-10-24,107.13416414895633,107.50967485392827,105.454982419039,107.32545471191406,326694200
2007-10-25,107.44590916345261,107.8993567008905,106.19184990570471,107.58052825927734,237374500
2007-10-26,108.44487157023276,108.84163665771484,107.62299485414113,108.84163665771484,176484000
2007-10-29,109.06127658359217,109.42262472076982,108.79204930199408,109.20298767089844,106841000
2007-10-30,108.72123519939475,108.93379110033557,108.3102966738538,108.44491577148438,132981600
2007-10-31,109.0967624143786,110.01074968313321,108.28905851766542,109.57146453857422,220954400
2007-11-01,108.60788735199367,108.69291621210199,106.69490557073644,107.00665283203125,333040800
2007-11-02,107.36086265190653,107.69386428134382,105.7171198188264,107.1270523071289,331228200
2007-11-05,106.02183174488108,107.09877399216568,105.54712957014817,106.31232452392578,226841000
2007-11-06,106.88618731572353,107.77182786725542,106.2060106152886,107.74349212646484,177800500
2007-11-07,106.58857065944312,107.07744577767946,104.54097095756684,104.79603576660156,306639700
2007-11-08,104.85271480719172,105.14319656631015,102.78386066920004,104.2646484375,374509900
2007-11-09,103.22318775999531,104.53392939716622,102.65637559830715,102.83350372314453,277745100
2007-11-12,102.88306996466184,103.87498280360221,101.8132095336914,101.8132095336914,243087800
2007-11-13,102.99645326328299,105.0794816337946,102.89018071827411,104.9165267944336,191117400
2007-11-14,105.72423411408175,105.8517611723678,103.99546191703143,104.62603759765625,230558800
2007-11-15,103.84668303865206,104.49851324587357,102.39423024131234,103.11690521240234,263111100
2007-11-16,103.66245109426075,103.77581567682574,102.42964639475171,103.29402160644531,308770600
2007-11-19,102.93268533273688,102.98936762466411,101.45189694340407,101.85574340820312,267746000
2007-11-20,102.0399585609714,103.10980838970312,100.68669728648739,102.47923278808594,414767500
2007-11-21,101.37395046987372,101.96201703008101,100.37494544068876,100.38202667236328,259012400
2007-11-23,101.36687560944007,102.2666785854929,101.10471866643509,102.1178970336914,77688400
2007-11-26,102.33042692077983,102.64926610654676,99.65934331751671,99.86480712890625,214232000
