date,open,high,low,close,volume
2007-07-02,29.454807213067088,29.968034744262695,29.454807213067088,29.968034744262695,30585300
2007-07-03,30.012662079708132,30.206796646118164,30.012662079708132,30.206796646118164,13577400
2007-07-05,30.037189343419886,30.378598549931308,30.037189343419886,30.34066390991211,25942800
2007-07-06,30.510260102433612,30.985552785997758,30.508028201823073,30.860591888427734,31670700
2007-07-09,31.07928208370234,31.262259687130005,31.061431980455307,31.15961265563965,28652100
2007-07-10,30.82489342929567,30.932004244211164,30.48571854549201,30.54596710205078,40039500
2007-07-11,30.70887184012023,30.8963107304462,30.45895246846449,30.79813003540039,25900200
2007-07-12,30.996722202520758,31.60590107745173,30.996722202520758,31.474246978759766,29064900
2007-07-13,31.681771025112745,31.88706000194171,31.572430832042887,31.86474609375,24262800
2007-07-16,31.617057650522877,31.730861643104415,31.402841074247892,31.552345275878906,23917200
2007-07-17,31.617066705928377,31.641612521927296,31.378304252300946,31.52781105041504,21789600
2007-07-18,31.130602920451548,31.360440217202186,30.88737677058642,31.141759872436523,34859700
2007-07-19,31.353749670558454,31.668381386339874,31.351517769061857,31.451932907104492,24539100
2007-07-20,31.6081276807137,31.719697200793043,31.06142937133705,31.2354793548584,48010800
2007-07-23,31.878125891134165,32.154822870680675,31.77324953096882,32.13920211791992,35516700
2007-07-24,31.90937682546342,31.974086649220187,30.974409250387716,31.039121627807617,53650200
2007-07-25,31.509936630289108,31.686218471140737,30.838277560927313,31.217618942260742,45873600
2007-07-26,30.577214642135573,30.60622425493347,28.9572014164638,29.626628875732422,99222600
2007-07-27,29.79175099973824,29.99927185798963,29.07546389087866,29.242820739746094,64008900
2007-07-30,29.566373488280334,30.4522492276078,29.566373488280334,30.200098037719727,50423400
2007-07-31,30.608455906740758,30.713334858086625,29.582000732421875,29.582000732421875,63243600
2007-08-01,29.21380834898253,29.729267700869517,28.88579038647611,29.465959548950195,106336500
2007-08-02,29.499434066100306,29.96803376721763,29.419103491345687,29.791751861572266,46615800
2007-08-03,29.76720285941291,29.789516763691367,28.285537143092068,28.506446838378906,64852500
2007-08-06,28.832235422713918,29.211576902296855,28.238677397931486,29.015213012695312,72395400
2007-08-07,28.899178411970862,29.54629187846814,28.77198813066012,29.23166275024414,54839100
2007-08-08,29.820761036431037,30.452256386964507,29.787290174045005,30.213491439819336,50678700
2007-08-09,29.28968641747591,29.633325236865236,28.754144902778894,28.963897705078125,78721500
2007-08-10,28.354708523423085,29.245048045239674,28.091400387819363,28.461816787719727,82478700
2007-08-13,29.13124750313411,29.31199319919782,28.7251283007182,28.74298095703125,39933300
2007-08-14,28.894714980741444,28.952731640705874,27.892805900070446,27.999914169311523,50445600
2007-08-15,27.694211865026052,27.988761566453327,26.78825396105227,26.899826049804688,77352600
2007-08-16,26.364281585699395,26.70792289776138,24.86030180790002,26.4423828125,140054700
2007-08-17,27.446522110078963,28.31231337595546,26.473620013720062,27.279165267944336,99855300
2007-08-20,27.582647152062158,27.68529165302183,26.859664180705046,27.334957122802734,64116300
2007-08-21,27.19660627429612,27.5580977123988,27.009167404315352,27.234540939331055,43294500
2007-08-22,27.691983031809276,28.472980006599297,27.691983031809276,28.406038284301758,57893700
2007-08-23,28.67157401375696,28.78091163279573,28.153882757693,28.551076889038086,46373700
