Ticker,Mean Daily Return,Daily Volatility,Annualised Volatility,Minimum Daily Return,Maximum Daily Return,Daily Return Skewness,Positive Daily Return Percentage
SPY,0.00048410649434369867,0.012472556725551127,0.19799569985372623,-0.1094236694047166,0.14519790106215802,0.005992972594470025,54.99058380414312
IEF,0.0001403778951694431,0.004406009680191457,0.06994323532757894,-0.025072556472067076,0.034263548955991485,0.14404909812021427,51.83092697216991
TLT,0.00016915123006995737,0.009584666823749114,0.15215186889030904,-0.06668250661936259,0.07519543146621155,0.07991809952018951,51.99832600962544
EFA,0.00026420865977613644,0.013743834204781345,0.21817660419812765,-0.11163203576202196,0.1588762949733018,-0.02931107586247462,52.77254655785729
EEM,0.00032300989141836726,0.017714737985803,0.28121274750662395,-0.16166182939480966,0.2276988669996558,0.5625990584477486,52.3749738439004
LQD,0.00018023384582302828,0.005598022436815706,0.0888658512094449,-0.09111106239912736,0.09767723503303993,0.040074390195462044,53.54676710608914
GLD,0.0004296715470632787,0.011426991675711918,0.18139786924523382,-0.10274245274560034,0.11290530102327678,-0.27228584574185155,52.83532119690312
DBC,0.00012246594232434254,0.012162325707723659,0.19307093512082668,-0.07944421255831902,0.06874407204403532,-0.4118919706222779,51.663527934714374
UUP,8.300862221340747e-05,0.005057093374290276,0.08027886855122732,-0.0321962424298855,0.03782147361402677,-0.04828366741543419,48.7758945386064
VNQ,0.0004020301159573767,0.018736881506923198,0.2974387728732236,-0.19513776685565332,0.17006507241511892,0.01365528039181403,52.981795354676706
